Id,ActivityHour,TotalIntensity,AverageIntensity
1503960366,2016-04-12,20,0.333333
1503960366,2016-04-12,8,0.133333
1503960366,2016-04-12,7,0.116667
1503960366,2016-04-12,0,0
1503960366,2016-04-12,0,0
1503960366,2016-04-12,0,0
1503960366,2016-04-12,0,0
1503960366,2016-04-12,0,0
1503960366,2016-04-12,13,0.216667
1503960366,2016-04-12,30,0.5
1503960366,2016-04-12,29,0.483333
1503960366,2016-04-12,12,0.2
1503960366,2016-04-12,11,0.183333
1503960366,2016-04-12,6,0.1
1503960366,2016-04-12,36,0.6
1503960366,2016-04-12,58,0.966667
1503960366,2016-04-12,13,0.216667
1503960366,2016-04-12,16,0.266667
1503960366,2016-04-12,29,0.483333
1503960366,2016-04-12,39,0.65
1503960366,2016-04-12,41,0.683333
1503960366,2016-04-12,31,0.516667
1503960366,2016-04-12,9,0.15
1503960366,2016-04-12,21,0.35
1503960366,2016-04-13,14,0.233333
1503960366,2016-04-13,0,0
1503960366,2016-04-13,0,0
1503960366,2016-04-13,4,0.066667
1503960366,2016-04-13,0,0
1503960366,2016-04-13,0,0
1503960366,2016-04-13,0,0
1503960366,2016-04-13,8,0.133333
1503960366,2016-04-13,12,0.2
1503960366,2016-04-13,27,0.45
1503960366,2016-04-13,15,0.25
1503960366,2016-04-13,16,0.266667
1503960366,2016-04-13,15,0.25
1503960366,2016-04-13,10,0.166667
1503960366,2016-04-13,46,0.766667
1503960366,2016-04-13,13,0.216667
1503960366,2016-04-13,10,0.166667
1503960366,2016-04-13,23,0.383333
1503960366,2016-04-13,25,0.416667
1503960366,2016-04-13,13,0.216667
1503960366,2016-04-13,0,0
1503960366,2016-04-13,0,0
1503960366,2016-04-13,11,0.183333
1503960366,2016-04-13,56,0.933333
1503960366,2016-04-14,4,0.066667
1503960366,2016-04-14,3,0.05
1503960366,2016-04-14,0,0
1503960366,2016-04-14,0,0
1503960366,2016-04-14,0,0
1503960366,2016-04-14,0,0
1503960366,2016-04-14,0,0
1503960366,2016-04-14,0,0
1503960366,2016-04-14,0,0
1503960366,2016-04-14,14,0.233333
1503960366,2016-04-14,23,0.383333
1503960366,2016-04-14,7,0.116667
1503960366,2016-04-14,18,0.3
1503960366,2016-04-14,54,0.9
1503960366,2016-04-14,22,0.366667
1503960366,2016-04-14,7,0.116667
1503960366,2016-04-14,25,0.416667
1503960366,2016-04-14,5,0.083333
1503960366,2016-04-14,12,0.2
1503960366,2016-04-14,1,0.016667
1503960366,2016-04-14,24,0.4
1503960366,2016-04-14,57,0.95
1503960366,2016-04-14,17,0.283333
1503960366,2016-04-14,0,0
1503960366,2016-04-15,6,0.1
1503960366,2016-04-15,5,0.083333
1503960366,2016-04-15,7,0.116667
1503960366,2016-04-15,0,0
1503960366,2016-04-15,0,0
1503960366,2016-04-15,1,0.016667
1503960366,2016-04-15,0,0
1503960366,2016-04-15,1,0.016667
1503960366,2016-04-15,5,0.083333
1503960366,2016-04-15,2,0.033333
1503960366,2016-04-15,8,0.133333
1503960366,2016-04-15,23,0.383333
1503960366,2016-04-15,13,0.216667
1503960366,2016-04-15,9,0.15
1503960366,2016-04-15,0,0
1503960366,2016-04-15,0,0
1503960366,2016-04-15,0,0
1503960366,2016-04-15,47,0.783333
1503960366,2016-04-15,22,0.366667
1503960366,2016-04-15,32,0.533333
1503960366,2016-04-15,8,0.133333
1503960366,2016-04-15,14,0.233333
1503960366,2016-04-15,66,1.1
1503960366,2016-04-15,95,1.583333
1503960366,2016-04-16,15,0.25
1503960366,2016-04-16,0,0
1503960366,2016-04-16,3,0.05
1503960366,2016-04-16,1,0.016667
1503960366,2016-04-16,1,0.016667
1503960366,2016-04-16,1,0.016667
1503960366,2016-04-16,0,0
1503960366,2016-04-16,4,0.066667
1503960366,2016-04-16,9,0.15
1503960366,2016-04-16,38,0.633333
1503960366,2016-04-16,14,0.233333
1503960366,2016-04-16,30,0.5
1503960366,2016-04-16,42,0.7
1503960366,2016-04-16,90,1.5
1503960366,2016-04-16,20,0.333333
1503960366,2016-04-16,0,0
1503960366,2016-04-16,2,0.033333
1503960366,2016-04-16,17,0.283333
1503960366,2016-04-16,10,0.166667
1503960366,2016-04-16,12,0.2
1503960366,2016-04-16,19,0.316667
1503960366,2016-04-16,13,0.216667
1503960366,2016-04-16,3,0.05
1503960366,2016-04-16,5,0.083333
1503960366,2016-04-17,0,0
1503960366,2016-04-17,0,0
1503960366,2016-04-17,0,0
1503960366,2016-04-17,1,0.016667
1503960366,2016-04-17,0,0
1503960366,2016-04-17,0,0
1503960366,2016-04-17,0,0
1503960366,2016-04-17,0,0
1503960366,2016-04-17,0,0
1503960366,2016-04-17,0,0
1503960366,2016-04-17,0,0
1503960366,2016-04-17,9,0.15
1503960366,2016-04-17,18,0.3
1503960366,2016-04-17,23,0.383333
1503960366,2016-04-17,10,0.166667
1503960366,2016-04-17,13,0.216667
1503960366,2016-04-17,2,0.033333
1503960366,2016-04-17,71,1.183333
1503960366,2016-04-17,39,0.65
1503960366,2016-04-17,24,0.4
1503960366,2016-04-17,87,1.45
1503960366,2016-04-17,16,0.266667
1503960366,2016-04-17,5,0.083333
1503960366,2016-04-17,0,0
1503960366,2016-04-18,21,0.35
1503960366,2016-04-18,0,0
1503960366,2016-04-18,0,0
1503960366,2016-04-18,0,0
1503960366,2016-04-18,0,0
1503960366,2016-04-18,0,0
1503960366,2016-04-18,0,0
1503960366,2016-04-18,0,0
1503960366,2016-04-18,0,0
1503960366,2016-04-18,39,0.65
1503960366,2016-04-18,17,0.283333
1503960366,2016-04-18,15,0.25
1503960366,2016-04-18,40,0.666667
1503960366,2016-04-18,9,0.15
1503960366,2016-04-18,7,0.116667
1503960366,2016-04-18,14,0.233333
1503960366,2016-04-18,17,0.283333
1503960366,2016-04-18,18,0.3
1503960366,2016-04-18,114,1.9
1503960366,2016-04-18,30,0.5
1503960366,2016-04-18,2,0.033333
1503960366,2016-04-18,11,0.183333
1503960366,2016-04-18,19,0.316667
1503960366,2016-04-18,18,0.3
1503960366,2016-04-19,0,0
1503960366,2016-04-19,1,0.016667
1503960366,2016-04-19,0,0
1503960366,2016-04-19,2,0.033333
1503960366,2016-04-19,0,0
1503960366,2016-04-19,0,0
1503960366,2016-04-19,1,0.016667
1503960366,2016-04-19,19,0.316667
1503960366,2016-04-19,38,0.633333
1503960366,2016-04-19,16,0.266667
1503960366,2016-04-19,16,0.266667
1503960366,2016-04-19,13,0.216667
1503960366,2016-04-19,61,1.016667
1503960366,2016-04-19,65,1.083333
1503960366,2016-04-19,12,0.2
1503960366,2016-04-19,12,0.2
1503960366,2016-04-19,9,0.15
1503960366,2016-04-19,13,0.216667
1503960366,2016-04-19,30,0.5
1503960366,2016-04-19,31,0.516667
1503960366,2016-04-19,69,1.15
1503960366,2016-04-19,16,0.266667
1503960366,2016-04-19,4,0.066667
1503960366,2016-04-19,48,0.8
1503960366,2016-04-20,2,0.033333
1503960366,2016-04-20,2,0.033333
1503960366,2016-04-20,0,0
1503960366,2016-04-20,0,0
1503960366,2016-04-20,0,0
1503960366,2016-04-20,0,0
1503960366,2016-04-20,0,0
1503960366,2016-04-20,3,0.05
1503960366,2016-04-20,14,0.233333
1503960366,2016-04-20,50,0.833333
1503960366,2016-04-20,13,0.216667
1503960366,2016-04-20,1,0.016667
1503960366,2016-04-20,8,0.133333
1503960366,2016-04-20,5,0.083333
1503960366,2016-04-20,39,0.65
1503960366,2016-04-20,21,0.35
1503960366,2016-04-20,11,0.183333
1503960366,2016-04-20,2,0.033333
1503960366,2016-04-20,32,0.533333
1503960366,2016-04-20,36,0.6
1503960366,2016-04-20,12,0.2
1503960366,2016-04-20,22,0.366667
1503960366,2016-04-20,7,0.116667
1503960366,2016-04-20,33,0.55
1503960366,2016-04-21,2,0.033333
1503960366,2016-04-21,8,0.133333
1503960366,2016-04-21,5,0.083333
1503960366,2016-04-21,0,0
1503960366,2016-04-21,0,0
1503960366,2016-04-21,0,0
1503960366,2016-04-21,0,0
1503960366,2016-04-21,3,0.05
1503960366,2016-04-21,15,0.25
1503960366,2016-04-21,26,0.433333
1503960366,2016-04-21,16,0.266667
1503960366,2016-04-21,0,0
1503960366,2016-04-21,11,0.183333
1503960366,2016-04-21,25,0.416667
1503960366,2016-04-21,2,0.033333
1503960366,2016-04-21,8,0.133333
1503960366,2016-04-21,4,0.066667
1503960366,2016-04-21,5,0.083333
1503960366,2016-04-21,9,0.15
1503960366,2016-04-21,8,0.133333
1503960366,2016-04-21,92,1.533333
1503960366,2016-04-21,21,0.35
1503960366,2016-04-21,9,0.15
1503960366,2016-04-21,15,0.25
1503960366,2016-04-22,0,0
1503960366,2016-04-22,0,0
1503960366,2016-04-22,0,0
1503960366,2016-04-22,0,0
1503960366,2016-04-22,0,0
1503960366,2016-04-22,0,0
1503960366,2016-04-22,0,0
1503960366,2016-04-22,0,0
1503960366,2016-04-22,0,0
1503960366,2016-04-22,13,0.216667
1503960366,2016-04-22,2,0.033333
1503960366,2016-04-22,34,0.566667
1503960366,2016-04-22,2,0.033333
1503960366,2016-04-22,4,0.066667
1503960366,2016-04-22,0,0
1503960366,2016-04-22,10,0.166667
1503960366,2016-04-22,4,0.066667
1503960366,2016-04-22,18,0.3
1503960366,2016-04-22,23,0.383333
1503960366,2016-04-22,16,0.266667
1503960366,2016-04-22,13,0.216667
1503960366,2016-04-22,159,2.65
1503960366,2016-04-22,30,0.5
1503960366,2016-04-22,54,0.9
1503960366,2016-04-23,9,0.15
1503960366,2016-04-23,0,0
1503960366,2016-04-23,1,0.016667
1503960366,2016-04-23,0,0
1503960366,2016-04-23,0,0
1503960366,2016-04-23,0,0
1503960366,2016-04-23,2,0.033333
1503960366,2016-04-23,0,0
1503960366,2016-04-23,8,0.133333
1503960366,2016-04-23,17,0.283333
1503960366,2016-04-23,4,0.066667
1503960366,2016-04-23,11,0.183333
1503960366,2016-04-23,49,0.816667
1503960366,2016-04-23,51,0.85
1503960366,2016-04-23,20,0.333333
1503960366,2016-04-23,15,0.25
1503960366,2016-04-23,52,0.866667
1503960366,2016-04-23,26,0.433333
1503960366,2016-04-23,66,1.1
1503960366,2016-04-23,2,0.033333
1503960366,2016-04-23,9,0.15
1503960366,2016-04-23,54,0.9
1503960366,2016-04-23,25,0.416667
1503960366,2016-04-23,6,0.1
1503960366,2016-04-24,10,0.166667
1503960366,2016-04-24,2,0.033333
1503960366,2016-04-24,0,0
1503960366,2016-04-24,0,0
1503960366,2016-04-24,1,0.016667
1503960366,2016-04-24,0,0
1503960366,2016-04-24,1,0.016667
1503960366,2016-04-24,0,0
1503960366,2016-04-24,1,0.016667
1503960366,2016-04-24,8,0.133333
1503960366,2016-04-24,26,0.433333
1503960366,2016-04-24,12,0.2
1503960366,2016-04-24,12,0.2
1503960366,2016-04-24,12,0.2
1503960366,2016-04-24,1,0.016667
1503960366,2016-04-24,2,0.033333
1503960366,2016-04-24,29,0.483333
1503960366,2016-04-24,25,0.416667
1503960366,2016-04-24,40,0.666667
1503960366,2016-04-24,131,2.183333
1503960366,2016-04-24,18,0.3
1503960366,2016-04-24,17,0.283333
1503960366,2016-04-24,7,0.116667
1503960366,2016-04-24,10,0.166667
1503960366,2016-04-25,8,0.133333
1503960366,2016-04-25,3,0.05
1503960366,2016-04-25,6,0.1
1503960366,2016-04-25,0,0
1503960366,2016-04-25,2,0.033333
1503960366,2016-04-25,1,0.016667
1503960366,2016-04-25,0,0
1503960366,2016-04-25,3,0.05
1503960366,2016-04-25,22,0.366667
1503960366,2016-04-25,46,0.766667
1503960366,2016-04-25,12,0.2
1503960366,2016-04-25,24,0.4
1503960366,2016-04-25,19,0.316667
1503960366,2016-04-25,13,0.216667
1503960366,2016-04-25,5,0.083333
1503960366,2016-04-25,13,0.216667
1503960366,2016-04-25,10,0.166667
1503960366,2016-04-25,8,0.133333
1503960366,2016-04-25,6,0.1
1503960366,2016-04-25,86,1.433333
1503960366,2016-04-25,30,0.5
1503960366,2016-04-25,132,2.2
1503960366,2016-04-25,11,0.183333
