Id,ActivityDay,SedentaryMinutes,LightlyActiveMinutes,FairlyActiveMinutes,VeryActiveMinutes,SedentaryActiveDistance,LightActiveDistance,ModeratelyActiveDistance,VeryActiveDistance
1503960366,2016-04-12,728,328,13,25,0,6.059999943,0.5500000119,1.879999995
1503960366,2016-04-13,776,217,19,21,0,4.710000038,0.6899999976,1.570000052
1503960366,2016-04-14,1218,181,11,30,0,3.910000086,0.400000006,2.440000057
1503960366,2016-04-15,726,209,34,29,0,2.829999924,1.25999999,2.140000105
1503960366,2016-04-16,773,221,10,36,0,5.039999962,0.4099999964,2.710000038
1503960366,2016-04-17,539,164,20,38,0,2.50999999,0.7799999714,3.190000057
1503960366,2016-04-18,1149,233,16,42,0,4.710000038,0.6399999857,3.25
1503960366,2016-04-19,775,264,31,50,0,5.03000021,1.320000052,3.529999971
1503960366,2016-04-20,818,205,12,28,0,4.239999771,0.4799999893,1.960000038
1503960366,2016-04-21,838,211,8,19,0,4.650000095,0.349999994,1.340000033
1503960366,2016-04-22,1217,130,27,66,0,2.24000001,1.120000005,4.760000229
1503960366,2016-04-23,732,262,21,41,0,5.360000134,0.8700000048,2.809999943
1503960366,2016-04-24,709,238,5,39,0,3.279999971,0.2099999934,2.920000076
1503960366,2016-04-25,814,216,14,73,0,3.940000057,0.5699999928,5.289999962
1503960366,2016-04-26,833,279,23,31,0,5.539999962,0.9200000167,2.329999924
1503960366,2016-04-27,1108,243,11,78,0,5.409999847,0.4099999964,6.400000095
1503960366,2016-04-28,782,189,28,48,0,3.789999962,1.159999967,3.539999962
1503960366,2016-04-29,815,243,12,16,0,5.579999924,0.5,1.059999943
1503960366,2016-04-30,712,217,34,52,0,4.269999981,1.419999957,3.559999943
1503960366,2016-05-01,730,246,35,33,0,2.920000076,1.600000024,2.289999962
1503960366,2016-05-02,798,277,15,41,0,5.920000076,0.5699999928,3.210000038
1503960366,2016-05-03,816,254,24,50,0,4.880000114,1.049999952,3.730000019
1503960366,2016-05-04,1179,203,22,36,0,3.819999933,0.8700000048,2.460000038
1503960366,2016-05-05,857,250,24,45,0,4.880000114,1.080000043,2.920000076
1503960366,2016-05-06,754,289,6,24,0,5.809999943,0.25,1.970000029
1503960366,2016-05-07,833,175,46,37,0,3.130000114,2.119999886,2.460000038
1503960366,2016-05-08,574,203,8,44,0,2.730000019,0.3199999928,3.529999971
1503960366,2016-05-09,835,206,11,46,0,3.74000001,0.5299999714,3.450000048
1503960366,2016-05-10,746,214,31,46,0,3.25999999,1.159999967,3.349999905
1503960366,2016-05-11,669,251,23,36,0,4.550000191,1.00999999,2.559999943
1503960366,2016-05-12,1440,0,0,0,0,0,0,0
